"review_id","star_rating","review_text","afinn_score","Sentiment"
458820,1,"This yellow curry in a jar is a complete disaster. It doesn't compare to the quality of the red and green curry pastes made by Thai Kitchen. Save your money and try something else. I tried it twice in one night thinking that maybe our first jar had a defect but 2nd jar was just as bad. The yellow curry paste has long been discontinued and I wish they'd bring it back.",-5,"Negative"
229471,1,"I really hated this sauce, it was all think and gumny, not like the stuff you get at the resturants. No real taste either",-2,"Negative"
56969,1,"Got this sample box as a gift with my new espresso machine and I have tried about 4 of the pods. Some are expired which things happen I understand so eh. However the four kinds I have tried which were not expired have been just awful. I haven't been able to finish a single cup I have even resorted to ripping the pods out and trying to add and tamp it myself to see if that would help. I think the espresso that we get in this sample pack is just nasty stuff. Also I did not get all the brands pictured. Basically I don't think the price was worth what I got for the money that was spent I felt really bad telling the person who bought this for me they wasted their money :|<br /><br />Update -  yes already, I was going through my box of pods trying to sort expired from not and what I drank already and didn't like to toss away when I ran across three packages that were coffee pods not espresso pods. So I don't know what to do with those perhaps they might work! But I do not have a coffee maching that takes pods I have a espresso machine. I did come across a white package of espresso that I did enjoy and wanted to leave a review on that brand; however, I don't even see the brand on their picture here so I guess there is no point to that.",-2,"Negative"
292432,5,"Having two parrots, was annoyed when WAlmart stopped carrying raw, unsalted peanuts in the shell - and even more annoyed that I had to pay an exhorbitant amount for the same at the petstore because I couldn't get them anywhere.  So, my box arrived yesterday, and let's just say that the birds love them, and hopefully they'll keep me going for a while (as long as I keep them securely closed to stop the moths getting in!)",-2,"Negative"
514587,1,"Terrible product. does not work. Myself and a few friends of mine have all reported falling asleep within half an hour of drinking these. We take the drink in one shot as to maximize effect. I myself have had these on 2 separate occasions and have had the same experience. Also, I work at walgreens, where we sell these, and after 1 year of carrying the product I have not met a single person who has bought these more than once. I have heard that if you mix the shot with mountain dew or pepsi, it can help... but then again its probably just the mountain dew.",-2,"Negative"
122678,5,"my mini doxie was already used to this when I adopted him and I saw no reason to change.  Having purchased same at local feed store, schlepped it home and dragged it into the garage, I located the same food on Amazon CHEAPER with no tax and no shipping :)  Now all I have to do is pull it through the front door into the food cupboard and we are in business.  Why on earth go anywhere else????",-4,"Negative"
252311,1,"the label gives misleading low calorie info by giving it for a third of a bar; barely any taste (a little vanilla might help);AND MOST IMPORTANT -- ALMOST NO PISTACHIOS!!!<br />At almost $1.50 a bar, this unacceptable!",-2,"Negative"
3096,1,"I've been buying these for nearly 5 years and this is the fiirst time that my son has refused to eat them. They are darker green than usual, which was not a problem, but the texture was chewier and the flavor wasn't as good. This is a problem since it's the only vegetable my son eats and he has severe feeding issues. The taste & texture were so different he was gagging. Not pleased with the change.",-2,"Negative"
513712,1,"I picked this up at my local grocery store thinking it would be good, name brand and all.  It tasted terrible.  You have to add a lot of the seasoning just to taste anything, then when you finally taste it, it has a powdery fake taste to it.  I was extremely disappointed.",-5,"Negative"
19639,1,"I used to be a fan of Canidae, but after $2k in recent vet bills and a very sick dog, I found out there is a HUGE amount of Consumer Affairs complaints about this company.<br /><br />After blood work, ultrasound and many other tests trying to figure out why my dog wasn't eating, was throwing up on the rare occasion he did, had pockets of gas the size of base balls (he is a small dog) and had all the symptoms of kidney and liver failure, my vet determined it might be the food. I found that hard to believe, but we couldn't find anything else wrong. If you read the complaints you will see many people have lost their dogs. They started using one of the very companies for production whose imported food killed so many animals a year or so ago.<br /><br />As soon as I quit feeding him this poison, he started getting better. I was one of the lucky ones since my pet did not die, but as I write this, he still has not gained all his weight back.<br /><br />The company is acting as if nothing is wrong. Probably on the advice of their attorneys.<br /><br />You don't need to take my word for it, please read up... http://www.consumeraffairs.com/pets/canidae.html",-6,"Negative"
347011,2,"Sodium phosphate is a preservative.  So these are not chemical and preservative free.  That's the part I read, but I should have read more carefully.  I didn't realize it was in there when I ordered these for my cats.  One cat ignores them, but my other one loves them.  But sodium phosphate causes me terrible migraines so I stay away from it in my foods and medicines.  Even a little bit has a bad effect on me.  This makes me very wary about giving it to my cat.  The salmon has no marinade and therefore no sodium phosphate, so I'll get that one again.  I wish the chicken was more pure.  I don't do many reviews but I thought I should point this out in case it makes a difference to anyone else. I'm always looking for healthy food for my cats and dog.  Not sure this is, with that chemical in it.",-3,"Negative"
275161,4,"These are perfect for lunch and not bad in the calorie dept. I hate red sauce but, for some reason I like this one. Maybe b/c of the extra flavor meat adds to it. However, b/c it is in a meat sauce I only gave it 4 stars and not 5. I would prefer not to eat meat.",-1,"Negative"
390572,2,"First batch were great.<br /><br />Second batch reeked of bleach. Told amazon, no return available so stuck with a bad box. This one batch made me wonder how bad the quality control is for these Green Cow products. Decided not to take a chance again. Have never had these issues with the Chunky Chews brand.",-4,"Negative"
314779,2,"I first purchased this product a few years ago (in a local shop, not on Amazon). I remember it being delicious--creamy with a nice chocolate mint flavor. It became a regular item on my grocery list.<br /><br />However, a few months after I first discovered Arctic Zero, I picked up a pint from the same store and I noticed that the product tasted watered-down, freezer burnt, and devoid of flavor. I had initially thought I'd just chosen a pint from a bad batch or that it had been stored improperly, but after purchasing different flavors from different stores, I can only assume that something has changed with the way the product is made. Every flavor now tastes like frozen water and it no longer has the creamy consistency it used to.<br /><br />I recently saw the mint flavor once again at another store after moving out of state. Considering it had been months since I stopped buying Arctic Zero, I thought I'd give it one last shot. Needless to say, I was met with the same disappointment as with my previous purchases. I will no longer be wasting money on this product. You'd be better off with low-fat frozen yogurt if you're looking for a healthier alternative to ice cream.",-3,"Negative"
